epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,26095.3,1.38198,1.09322,1.38092,0.72077,0.84452,0.77194,0.36836,1.56342,1.07267,1.5529,0.000848969,0.000848969,0.000848969
43,26641.9,1.41278,1.09262,1.38214,0.74805,0.86368,0.81043,0.40895,1.59552,1.02224,1.56071,0.000834822,0.000834822,0.000834822
44,27187.3,1.38824,1.06371,1.3794,0.77394,0.83893,0.82941,0.43848,1.55089,0.98528,1.57348,0.000820675,0.000820675,0.000820675
45,27753.3,1.39104,1.09094,1.39936,0.81296,0.8486,0.81425,0.37774,1.59833,0.98961,1.57468,0.000806528,0.000806528,0.000806528
46,28309.3,1.40113,1.08906,1.40887,0.77283,0.86366,0.85852,0.38998,1.59744,1.00533,1.56177,0.00079238,0.00079238,0.00079238
47,28860.7,1.37886,1.07092,1.38131,0.75316,0.85265,0.80238,0.34701,1.67069,0.98208,1.63279,0.000778233,0.000778233,0.000778233
48,29402.7,1.38245,1.04029,1.36918,0.76949,0.84006,0.81253,0.35455,1.58879,1.02755,1.55272,0.000764086,0.000764086,0.000764086
49,29956.7,1.3713,1.05339,1.37625,0.81753,0.82498,0.83867,0.36152,1.62757,1.05402,1.59181,0.000749939,0.000749939,0.000749939
50,30514.6,1.37895,1.08581,1.37111,0.7861,0.7899,0.84482,0.38988,1.63864,1.01768,1.58617,0.000735792,0.000735792,0.000735792
51,31070.1,1.37314,1.04049,1.3776,0.84243,0.85455,0.90667,0.42746,1.59626,0.96544,1.57412,0.000721645,0.000721645,0.000721645
